#=================================================================
# Uso Filtros/Familias - Home Entertainment
# Report suite: PcComponentes España
# Date: Jan 1, 2025 - Dec 31, 2025
# Segments: Validos_countries, Tráfico NO Bots, Tráfico Vertical
#=================================================================


##############################################
# Sesiones por filtro - Todos los canales - Page Full URL
##############################################
,Televisores
,Visits
Page Full URL,1237795
(Low Traffic),697119
Unspecified,473460
https://www.pccomponentes.com/televisores,154105
https://www.pccomponentes.com/televisores/55-pulgadas,45379
https://www.pccomponentes.com/televisores/65-pulgadas,44004
https://www.pccomponentes.com/televisores/75-pulgadas,28467
https://www.pccomponentes.com/televisores/43-pulgadas,25557
https://www.pccomponentes.com/televisores/32-pulgadas,22336
https://www.pccomponentes.com/televisores/50-pulgadas,19796
https://www.pccomponentes.com/televisores/oled,16527
https://www.pccomponentes.com/televisores/40-pulgadas,15119
https://www.pccomponentes.com/televisores/smart-tv,13838
https://www.pccomponentes.com/televisores-samsung,13202
https://www.pccomponentes.com/televisores-lg,10605
https://www.pccomponentes.com/televisores/nilait,9835
https://www.pccomponentes.com/televisores/qled,8616
https://www.pccomponentes.com/televisores/samsung,5170
https://www.pccomponentes.com/televisores/xiaomi,4765
https://www.pccomponentes.com/televisores/lg,4521
https://www.pccomponentes.com/televisores/3840-x-2160-4k-uhd,4338
https://www.pccomponentes.com/televisores/reacondicionado,3854
https://www.pccomponentes.com/televisores/24-pulgadas,3456
https://www.pccomponentes.com/televisores/85-pulgadas,2987
https://www.pccomponentes.com/televisores/mini-led,2654
https://www.pccomponentes.com/televisores/tcl-corporation,2543
https://www.pccomponentes.com/televisores/philips,2321
https://www.pccomponentes.com/televisores/hisense,1987
https://www.pccomponentes.com/televisores/55-pulgadas/oled,1876
https://www.pccomponentes.com/televisores/65-pulgadas/oled,1654
https://www.pccomponentes.com/televisores/55-pulgadas/samsung,1543
https://www.pccomponentes.com/televisores/65-pulgadas/samsung,1432
https://www.pccomponentes.com/televisores/55-pulgadas/lg,1321
https://www.pccomponentes.com/televisores/ambilight,1234
https://www.pccomponentes.com/televisores/120-hz,1123
https://www.pccomponentes.com/televisores/nanocell,987
https://www.pccomponentes.com/televisores/qned,876
https://www.pccomponentes.com/televisores/gaming,765
