#=================================================================
# Uso Filtros/Familias - Home Entertainment
# Report suite: PcComponentes España
# Date: Jan 1, 2025 - Dec 31, 2025
# Segments: Validos_countries, Tráfico NO Bots, Tráfico Vertical
#=================================================================


##############################################
# Sesiones por filtro - Todos los canales - Search Filters
##############################################
,Televisores
,Visits
Search Filters,1015093
pulgadas:55 pulgadas,83429
pulgadas:65 pulgadas,80506
marcas:lg,64556
marcas:samsung,61118
pulgadas:75 pulgadas,52879
pulgadas:43 pulgadas,52026
pulgadas:32 pulgadas,45038
conectividad:smart tv,44992
pulgadas:50 pulgadas,44964
pulgadas:40 pulgadas,40239
order:price_asc,27783
tipo pantalla:oled,26560
marcas:xiaomi,23404
marcas:nilait,21619
tipo pantalla:qled,14434
marcas:tcl,12197
marcas:philips,11979
destacados:pack,7958
marcas:hisense,7467
resolucion:4k uhd 3840 x 2160,6509
pulgadas:24 pulgadas,5966
destacados:pcrecommended,4914
order:price_desc,4573
order:discount,3904
marcas:sony,3568
pulgadas:85 pulgadas,3254
vendido por:pccomponentes,3096
order:sales,3089
pulgadas:televisores grandes mas de 75,3002
tipo pantalla:ambilight,2792
pulgadas:27 pulgadas,2184
pulgadas:70 pulgadas,2182
order:top_rated,2230
frecuencia de refresco:120 hz,1877
marcas:toshiba,1851
frecuencia de refresco:144 hz,1199
color:blanco,951
sistema operativo tv:android tv,1182
sistema operativo tv:google tv,878
pulgadas:100 pulgadas,1523
tipo pantalla:mini led,1456
tipo pantalla:nanocell,892
tipo pantalla:qned,756
