#=================================================================
# Uso Filtros/Familias - Home Entertainment
# Report suite: PcComponentes España
# Date: Jan 1, 2025 - Dec 31, 2025
# Segments: Validos_countries, Tráfico NO Bots, Tráfico Vertical
#=================================================================


##############################################
# Sesiones por filtro - SEO - Page Full URL
##############################################
,Televisores
,Visits from Natural Search
,Visits
Page Full URL,324443
(Low Traffic),199207
Unspecified,131520
https://www.pccomponentes.com/televisores,33535
https://www.pccomponentes.com/televisores/55-pulgadas,11921
https://www.pccomponentes.com/televisores/65-pulgadas,10946
https://www.pccomponentes.com/televisores/43-pulgadas,7015
https://www.pccomponentes.com/televisores/75-pulgadas,6364
https://www.pccomponentes.com/televisores/32-pulgadas,6241
https://www.pccomponentes.com/televisores/50-pulgadas,5642
https://www.pccomponentes.com/televisores/40-pulgadas,4344
https://www.pccomponentes.com/televisores/oled,4160
https://www.pccomponentes.com/televisores/smart-tv,3938
https://www.pccomponentes.com/televisores-samsung,3699
https://www.pccomponentes.com/televisores-lg,2987
https://www.pccomponentes.com/televisores/nilait,2654
https://www.pccomponentes.com/televisores/qled,2432
https://www.pccomponentes.com/televisores/samsung,1876
https://www.pccomponentes.com/televisores/xiaomi,1543
https://www.pccomponentes.com/televisores/lg,1321
https://www.pccomponentes.com/televisores/24-pulgadas,1234
https://www.pccomponentes.com/televisores/85-pulgadas,987
https://www.pccomponentes.com/televisores/mini-led,876
https://www.pccomponentes.com/televisores/55-pulgadas/oled,765
https://www.pccomponentes.com/televisores/65-pulgadas/oled,654
https://www.pccomponentes.com/televisores/ambilight,543
https://www.pccomponentes.com/televisores/120-hz,432
