#=================================================================
# Uso Filtros/Familias - Home Entertainment
# Report suite: PcComponentes España
# Date: Jan 1, 2025 - Dec 31, 2025
# Segments: Validos_countries, Tráfico NO Bots, Tráfico Vertical
#=================================================================


##############################################
# Sesiones por filtro - SEO - Search Filters
##############################################
,Televisores
,Visits from Natural Search
,Visits
Search Filters,284835
pulgadas:55 pulgadas,24064
pulgadas:65 pulgadas,21877
pulgadas:32 pulgadas,15271
pulgadas:75 pulgadas,13630
pulgadas:50 pulgadas,13558
marcas:lg,13496
pulgadas:40 pulgadas,13079
marcas:samsung,13078
pulgadas:43 pulgadas,12628
conectividad:smart tv,10562
tipo pantalla:oled,7670
order:price_asc,6904
marcas:nilait,4866
marcas:xiaomi,4353
tipo pantalla:qled,4012
marcas:tcl,3421
marcas:philips,3198
pulgadas:24 pulgadas,2987
marcas:hisense,2654
marcas:sony,1876
pulgadas:85 pulgadas,1543
tipo pantalla:ambilight,1234
frecuencia de refresco:120 hz,987
order:price_desc,876
color:blanco,543
tipo pantalla:mini led,456
sistema operativo tv:android tv,398
pulgadas:70 pulgadas,387
pulgadas:27 pulgadas,345
