url,url_total_clicks,url_total_impressions,url_ctr_percent,url_avg_position,num_queries_conocidas,top_query,top_query_clicks,top_query_impressions,top_query_ctr_percent,top_query_position,pct_clicks_from_top_query_all,pct_imps_from_top_query_all
https://www.pccomponentes.com/mejores-televisores-relacion-calidad-precio,3589,56600,6.34,6.2,2524,mejor tv calidad precio,109.0,832.0,13.1,1.4,3.0,1.5
https://www.pccomponentes.com/medidas-televisores-pulgadas-y-centimetros,3333,258558,1.29,5.3,12008,medidas tv,28.0,796.0,3.52,1.9,0.8,0.3
https://www.pccomponentes.com/televisores,934,177614,0.53,7.1,3838,televisión,91.0,91178.0,0.1,6.8,9.7,51.3
https://www.pccomponentes.com/televisores/32-pulgadas,747,59511,1.26,5.5,1028,tv 32 pulgadas,132.0,6861.0,1.92,3.6,17.7,11.5
https://www.pccomponentes.com/televisores/40-pulgadas,747,36173,2.07,4.3,607,tv 40 pulgadas,116.0,3530.0,3.29,2.8,15.5,9.8
https://www.pccomponentes.com/televisores/55-pulgadas,693,83895,0.83,5.8,774,tv 55 pulgadas,164.0,7825.0,2.1,2.6,23.7,9.3
https://www.pccomponentes.com/televisores/65-pulgadas,548,74941,0.73,5.7,740,tv 65 pulgadas,173.0,8746.0,1.98,2.9,31.6,11.7
https://www.pccomponentes.com/mejores-televisores-jugar-ps5,526,6391,8.23,3.0,204,tv para ps5,33.0,183.0,18.03,0.5,6.3,2.9
https://www.pccomponentes.com/televisores/50-pulgadas,502,34599,1.45,4.4,669,tv 50 pulgadas,149.0,5470.0,2.72,2.3,29.7,15.8
https://www.pccomponentes.com/mejores-televisores-120-hz,468,10800,4.33,4.6,633,tv 120hz,18.0,266.0,6.77,2.7,3.8,2.5
https://www.pccomponentes.com/televisores/75-pulgadas,465,24710,1.88,4.1,452,tv 75 pulgadas,134.0,5918.0,2.26,2.3,28.8,23.9
https://www.pccomponentes.com/televisores/nilait,441,5620,7.85,2.1,40,nilait,63.0,1271.0,4.96,2.7,14.3,22.6
https://www.pccomponentes.com/mejores-televisores-32-pulgadas,399,7343,5.43,10.6,302,mejor tv 32 pulgadas 2025,20.0,158.0,12.66,0.8,5.0,2.2
https://www.pccomponentes.com/televisores/smart-tv,333,72892,0.46,6.7,894,smart tv,184.0,12687.0,1.45,4.3,55.3,17.4
https://www.pccomponentes.com/mejores-televisores-75-pulgadas,330,7213,4.58,13.3,279,mejor tv 75 pulgadas calidad precio,25.0,174.0,14.37,1.0,7.6,2.4
https://www.pccomponentes.com/mejores-marcas-televisores,323,10022,3.22,4.5,1195,mejores marcas de tv,14.0,260.0,5.38,1.8,4.3,2.6
https://www.pccomponentes.com/televisores/40-pulgadas/nilait,303,5300,5.72,2.0,42,tv nilait 40 pulgadas,54.0,423.0,12.77,1.0,17.8,8.0
https://www.pccomponentes.com/televisores/24-pulgadas,303,17756,1.71,6.1,424,tv 24 pulgadas,58.0,1585.0,3.66,3.4,19.1,8.9
https://www.pccomponentes.com/mejores-televisores-4k-43-pulgadas,299,7149,4.18,11.5,387,mejor tv 43 pulgadas 2025,10.0,93.0,10.75,2.6,3.3,1.3
https://www.pccomponentes.com/diferencia-televisores-qled-y-qned,292,8922,3.27,2.8,654,qned vs qled,29.0,472.0,6.14,0.8,9.9,5.3
https://www.pccomponentes.com/comparador/televisores,291,4201,6.93,5.7,239,comparador tv,46.0,381.0,12.07,2.4,15.8,9.1
https://www.pccomponentes.com/televisores-mas-finos,269,3078,8.74,4.7,123,tv extraplana pared,9.0,45.0,20.0,1.2,3.3,1.5
